No.,Ticker,Company,Sector,Industry,Country,P/E,Dividend Yield,Institutional Ownership,Institutional Transactions,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
220,JACK,Jack in the Box Inc.,Services,Restaurants,USA,25.6,1.69%,97.00%,-0.87%,-13.18%,-12.16%,-11.65%,39.05%,-11.61%,-12.78%,-1.78%,-16.25%,55.28%,20.12,94.89,-1.87%,1662026
221,JCP,"J. C. Penney Company, Inc.",Services,Department Stores,USA,,,87.80%,-1.15%,-8.11%,-6.92%,-33.54%,-22.73%,-6.00%,-14.39%,-25.40%,-46.12%,1.73%,32.94,6.46,-5.83%,69702489
222,KBR,"KBR, Inc.",Services,Technical Services,USA,32.84,2.05%,98.50%,0.54%,-9.46%,-11.71%,-5.71%,23.49%,-7.44%,-8.21%,1.97%,-12.69%,30.58%,31.39,15.6,-3.41%,5259379
223,JW-A,"John Wiley & Sons, Inc.",Services,Publishing - Books,USA,34.36,2.36%,87.80%,-0.29%,-7.08%,-3.05%,-3.92%,22.99%,-4.76%,-5.03%,-1.60%,-9.75%,27.94%,34.4,52.5,-1.04%,301611
224,LB,"L Brands, Inc.",Services,Apparel Stores,USA,12.92,4.71%,77.20%,0.57%,-11.29%,-16.70%,-27.26%,-38.30%,-11.80%,-17.55%,-24.33%,-40.45%,6.38%,27.66,50.99,4.19%,10704203
225,LABL,Multi-Color Corporation,Services,Business Services,USA,23.36,0.28%,91.50%,2.08%,2.05%,-10.91%,-3.60%,54.96%,-3.49%,-5.89%,5.56%,-10.96%,63.16%,35.5,72.25,0.14%,51267
226,KIRK,"Kirkland's, Inc.",Services,Home Furnishing Stores,USA,16.59,,90.00%,0.51%,-0.80%,-20.51%,-25.63%,-19.42%,-7.41%,-20.17%,-19.17%,-38.43%,10.89%,29.16,11.2,0.45%,117711
227,KONA,"Kona Grill, Inc.",Services,Restaurants,USA,,,89.50%,-4.56%,-5.95%,-15.05%,-31.60%,-45.33%,-8.25%,-23.47%,-32.04%,-49.55%,3.27%,32.65,7.9,-3.07%,68748
228,LQDT,"Liquidity Services, Inc.",Services,Catalog & Mail Order Houses,USA,,,69.90%,4.53%,-2.94%,-12.70%,-19.12%,82.12%,-9.49%,-13.65%,-7.64%,-28.20%,84.98%,25.86,8.25,0.61%,58842
229,MATW,Matthews International Corporation,Services,Personal Services,USA,31.04,1.01%,80.40%,-1.53%,-0.37%,-6.91%,-5.12%,45.53%,-0.11%,-6.22%,7.55%,-12.95%,46.97%,37.94,67.6,-0.52%,78712
230,MATX,"Matson, Inc.",Services,Shipping,USA,16.6,2.28%,86.80%,1.29%,-6.50%,-9.59%,-12.96%,-15.92%,-5.99%,-7.30%,-8.48%,-22.37%,15.94%,38.6,33.38,1.15%,489754
231,MIC,Macquarie Infrastructure Corporation,Services,"Air Services, Other",USA,52.81,6.82%,86.10%,-0.21%,-4.28%,-8.56%,-7.40%,33.99%,-3.20%,-6.10%,-2.60%,-10.03%,37.56%,32.89,75.67,-1.48%,984413
232,MGM,MGM Resorts International,Services,Resorts & Casinos,USA,13.72,1.67%,73.30%,0.34%,-1.75%,-10.84%,-8.08%,43.89%,-6.96%,-8.29%,1.69%,-13.81%,50.97%,35.1,26.39,0.80%,11646522
233,NCI,"Navigant Consulting, Inc.",Services,Management Services,USA,19.76,,95.10%,-0.20%,-0.80%,-7.37%,-6.07%,55.80%,-2.56%,-6.27%,12.55%,-15.61%,60.04%,37.11,23.51,-0.34%,207331
234,NCMI,"National CineMedia, Inc.",Services,Marketing Services,USA,42.39,7.28%,96.20%,-2.13%,-5.85%,-19.31%,-23.20%,-17.24%,-10.58%,-15.85%,-16.75%,-24.74%,-2.11%,24.03,12.08,-2.82%,1795332
235,PIR,"Pier 1 Imports, Inc.",Services,"Specialty Retail, Other",USA,25.16,4.08%,93.80%,-6.66%,-2.69%,-9.96%,11.54%,47.25%,-3.84%,-12.00%,21.92%,-28.44%,88.74%,37.67,6.87,1.63%,2692614
236,PHIIK,"PHI, Inc.",Services,"Air Services, Other",USA,,,86.00%,-2.29%,-1.95%,-2.80%,4.84%,-7.42%,-2.16%,-7.20%,-11.37%,-31.55%,15.38%,37.09,15.6,-2.62%,28014
237,PFSW,"PFSweb, Inc.",Services,Business Services,USA,,,62.60%,-0.15%,-3.70%,-13.02%,-12.92%,-41.10%,-4.40%,-10.94%,-22.02%,-54.13%,8.49%,35.18,7.28,0.55%,44357
238,PZZA,"Papa John's International, Inc.",Services,Specialty Eateries,USA,31.71,1.02%,79.10%,5.14%,-8.91%,-6.73%,-9.60%,34.73%,-5.93%,-7.61%,2.69%,-12.82%,49.41%,31.66,78.7,-0.09%,652411
239,REIS,"Reis, Inc.",Services,Business Services,USA,43.75,3.41%,61.90%,-0.09%,-5.00%,-5.23%,-9.32%,-11.18%,-1.74%,-4.82%,-8.64%,-24.97%,9.86%,39.52,19.95,-4.55%,40675
240,RCMT,"RCM Technologies, Inc.",Services,Staffing & Outsourcing Services,USA,14.86,,53.00%,64.65%,-3.33%,-1.94%,-5.07%,4.12%,-3.00%,-6.83%,-3.78%,-19.64%,15.51%,38.09,5.81,2.52%,11550
241,RRTS,"Roadrunner Transportation Systems, Inc.",Services,Air Delivery & Freight Services,USA,11.19,,95.40%,-0.19%,3.09%,-36.91%,-27.66%,-37.29%,-6.11%,-23.86%,-14.67%,-46.23%,13.25%,36.64,7.35,0.41%,222510
242,TACO,"Del Taco Restaurants, Inc.",Services,Restaurants,USA,29.12,,73.10%,-2.85%,-11.24%,-11.30%,-12.80%,22.34%,-7.28%,-9.11%,7.16%,-15.99%,52.67%,30.92,12.87,-1.08%,390587
243,STRA,"Strayer Education, Inc.",Services,Education & Training Services,USA,23.68,1.32%,94.00%,-0.20%,-0.80%,-7.96%,4.11%,70.90%,-5.74%,-6.28%,28.29%,-9.50%,76.18%,36.09,75.95,-2.06%,63058
244,SPTN,SpartanNash Company,Services,Food Wholesale,USA,22.96,1.60%,91.20%,0.95%,-3.57%,-3.22%,0.94%,51.65%,-2.27%,-3.17%,15.26%,-7.11%,80.58%,38.2,37.51,-0.21%,190986
245,SCOR,"comScore, Inc.",Services,Business Services,USA,,,84.00%,-4.33%,5.79%,-25.47%,-18.37%,-42.06%,-8.01%,-18.85%,-16.63%,-43.74%,17.68%,36.97,24.49,2.04%,1150804
246,SAVE,"Spirit Airlines, Inc.",Services,Major Airlines,USA,13.82,,97.30%,5.14%,-0.82%,-7.42%,-3.13%,9.31%,-2.99%,-6.90%,9.72%,-14.04%,39.68%,38.97,51.92,0.95%,519457
247,SBH,"Sally Beauty Holdings, Inc.",Services,"Specialty Retail, Other",USA,13.93,,91.80%,-7.23%,-0.62%,-9.38%,-16.19%,-28.78%,-3.23%,-10.36%,-17.04%,-31.92%,4.23%,37.46,22.42,1.36%,2036090
248,SIG,Signet Jewelers Limited,Services,Jewelry Stores,Bermuda,11.24,1.41%,95.50%,-2.00%,0.44%,-11.06%,-18.46%,-23.16%,-1.88%,-11.74%,-14.03%,-40.49%,4.25%,37.66,73.8,1.96%,1491550
249,HA,"Hawaiian Holdings, Inc.",Services,Regional Airlines,USA,11.01,,93.80%,4.47%,-0.79%,-3.47%,-4.03%,16.04%,-1.65%,-8.19%,5.30%,-17.90%,44.13%,35.93,50,0.91%,460707
250,HABT,"The Habit Restaurants, Inc.",Services,Restaurants,USA,55.06,,99.30%,8.28%,-8.11%,-10.53%,-6.85%,-32.17%,-6.34%,-13.46%,-12.94%,-37.59%,3.03%,29.41,13.6,-2.16%,569653
251,HAIN,"The Hain Celestial Group, Inc.",Services,Food Wholesale,USA,17.3,,87.10%,-2.06%,0.44%,-15.03%,-11.21%,-5.28%,-7.53%,-10.96%,-17.32%,-39.27%,5.29%,26.77,34.61,-0.66%,2490514
252,HIBB,"Hibbett Sports, Inc.",Services,Sporting Goods Stores,USA,10.22,,95.00%,-1.71%,2.22%,-12.06%,-27.43%,-16.69%,-5.66%,-13.72%,-19.30%,-34.79%,4.73%,36.55,29.9,2.57%,330159
253,HRB,"H&R Block, Inc.",Services,Personal Services,USA,13.36,4.39%,94.80%,-6.94%,-2.48%,-13.17%,-13.42%,-38.31%,-5.24%,-10.81%,-10.49%,-38.83%,7.65%,22.73,20.05,0.00%,6004180
254,FRGI,"Fiesta Restaurant Group, Inc.",Services,Restaurants,USA,30.64,,94.40%,0.13%,-7.22%,-0.19%,-9.45%,-24.50%,-3.86%,-6.25%,1.77%,-31.63%,30.77%,35.71,26.35,-2.23%,465446
255,FCN,"FTI Consulting, Inc.",Services,Management Services,USA,18.69,,96.30%,-0.81%,-5.45%,-6.41%,-8.21%,16.33%,-5.08%,-7.53%,-6.82%,-15.34%,24.70%,30.06,39.89,-4.59%,714969
256,GAIA,"Gaia, Inc.",Services,Catalog & Mail Order Houses,USA,,,55.80%,-7.08%,-3.49%,-4.60%,-8.79%,49.01%,-3.46%,-4.77%,3.65%,-17.58%,64.03%,38.61,8.3,-0.60%,93499
257,GPX,GP Strategies Corporation,Services,Education & Training Services,USA,21.65,,88.00%,-0.09%,-1.55%,-4.70%,-6.11%,10.65%,-1.48%,-6.79%,2.23%,-15.50%,29.40%,39.87,25.35,0.40%,25416
258,CVG,Convergys Corporation,Services,Business Services,USA,14.93,1.58%,99.10%,-0.70%,-6.50%,-12.03%,-11.75%,-11.45%,-8.15%,-9.11%,-15.56%,-25.96%,2.34%,31.88,22.74,0.49%,1744664
259,CVO,"Cenveo, Inc.",Services,Business Services,USA,0.77,,69.10%,5.86%,-18.03%,-23.87%,-25.29%,76.69%,-20.70%,-23.93%,-27.76%,-50.19%,86.79%,20.54,5.23,-3.15%,40272
260,DEST,Destination Maternity Corporation,Services,Apparel Stores,USA,,,55.70%,-19.88%,-3.04%,-7.55%,-27.01%,-37.59%,-5.76%,-7.35%,-16.22%,-49.53%,7.02%,37.61,5.17,-1.00%,26026
261,DIN,"DineEquity, Inc.",Services,Restaurants,USA,10.87,6.48%,99.10%,1.57%,-10.05%,-13.61%,-30.49%,-35.47%,-9.04%,-17.57%,-22.95%,-36.69%,0.84%,20.83,59.86,0.64%,420040
262,CRMT,"America's Car-Mart, Inc.",Services,Auto Dealerships,USA,13.5,,80.70%,-4.00%,-20.38%,-26.95%,-26.44%,25.99%,-20.67%,-25.20%,-12.59%,-33.30%,63.42%,22.75,31.85,2.74%,87556
263,CPLA,Capella Education Company,Services,Education & Training Services,USA,21.2,2.16%,95.70%,1.73%,-1.04%,-11.19%,-12.57%,69.85%,-7.02%,-10.71%,12.48%,-16.15%,75.56%,33.79,75.8,0.20%,35380
264,ECHO,"Echo Global Logistics, Inc.",Services,Trucking,USA,372.95,,89.80%,1.11%,-2.78%,-8.63%,-9.90%,-8.85%,-4.46%,-8.33%,-5.34%,-21.28%,12.35%,34.54,22.75,-0.22%,154753
265,ERA,Era Group Inc.,Services,"Air Services, Other",USA,,,90.30%,1.67%,-5.08%,-16.02%,18.14%,83.25%,-7.17%,-10.51%,30.53%,-21.04%,102.31%,33.51,14,-3.31%,72409
266,DXPE,"DXP Enterprises, Inc.",Services,Industrial Equipment Wholesale,USA,,,79.30%,13.00%,-8.42%,-13.72%,14.45%,142.51%,-8.63%,-7.35%,31.75%,-15.48%,171.98%,34.49,34.46,-1.35%,124378
267,CECO,Career Education Corporation,Services,Education & Training Services,USA,5.09,,76.20%,5.45%,-8.87%,-16.88%,-16.80%,227.56%,-12.68%,-16.02%,7.46%,-20.99%,235.48%,29.27,8.32,-10.83%,1808516
268,CMPR,Cimpress N.V.,Services,Business Services,Netherlands,,,98.30%,-0.27%,0.05%,-15.23%,-3.59%,-5.46%,-1.22%,-7.71%,-10.97%,-20.12%,3.42%,35.39,83.22,-0.26%,194560
269,CONN,"Conn's, Inc.",Services,Electronics Stores,USA,,,57.50%,-5.64%,-9.48%,-12.79%,-18.03%,-42.26%,-7.51%,-18.86%,-1.85%,-55.54%,46.02%,29.3,9.55,-3.54%,495607
270,CAB,Cabela's Incorporated,Services,Sporting Goods Stores,USA,19.15,,62.90%,-16.79%,0.78%,-17.50%,-24.90%,-1.71%,-8.96%,-17.31%,-14.93%,-26.76%,3.51%,29.46,46.58,2.46%,726193
271,BGFV,Big 5 Sporting Goods Corporation,Services,Sporting Goods Stores,USA,21.81,4.44%,67.20%,60.67%,-1.10%,-13.46%,-30.94%,3.76%,-9.53%,-16.14%,-1.77%,-33.15%,68.59%,29.59,13.5,1.12%,552990
272,BYD,Boyd Gaming Corporation,Services,Resorts & Casinos,USA,10.47,,69.90%,-2.76%,-2.52%,-3.61%,5.78%,20.72%,-4.17%,-3.04%,2.15%,-8.48%,27.09%,39.32,19.75,-0.60%,1403387
273,BPI,"Bridgepoint Education, Inc.",Services,Education & Training Services,USA,,,96.10%,-1.00%,-5.15%,-15.39%,-8.38%,48.50%,-8.48%,-9.88%,11.75%,-18.83%,74.72%,28.29,9.4,-3.69%,165722
274,ASFI,"Asta Funding, Inc.",Services,Business Services,USA,22.6,,55.50%,0.10%,-9.36%,-9.80%,2.79%,25.85%,-8.71%,-7.80%,-10.21%,-23.14%,34.85%,27.72,9.2,-0.54%,22069
275,ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,166.04,,74.70%,2.99%,-2.11%,-16.98%,-20.56%,-37.66%,-19.32%,-17.95%,-21.05%,-39.42%,28.39%,31.47,22.25,1.32%,427474
276,AMC,"AMC Entertainment Holdings, Inc.",Services,"Movie Production, Theaters",USA,24.8,2.55%,58.40%,10.51%,0.48%,-8.05%,-8.97%,43.62%,-2.47%,-5.35%,1.77%,-11.55%,50.10%,35.22,31.4,0.16%,1136433
277,AN,"AutoNation, Inc.",Services,Auto Dealerships,USA,11.24,,89.80%,-4.51%,-0.19%,-11.57%,4.55%,-9.84%,-4.77%,-5.84%,-3.01%,-13.52%,19.22%,37.35,46.83,0.52%,835348
278,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,14.28,0.40%,82.30%,4.63%,-7.93%,-13.82%,-8.30%,19.16%,-7.79%,-12.53%,2.95%,-20.57%,32.55%,27.86,27.18,0.97%,541305
279,TXRH,"Texas Roadhouse, Inc.",Services,Restaurants,USA,25.4,1.80%,88.10%,-0.60%,-12.24%,-9.48%,-9.66%,0.87%,-9.32%,-10.77%,-5.47%,-16.38%,13.83%,27.27,42.22,0.31%,1041661
280,TSCO,Tractor Supply Company,Services,"Specialty Retail, Other",USA,21.78,1.35%,91.90%,1.23%,0.79%,-5.08%,-3.98%,-15.72%,-2.38%,-4.68%,-10.07%,-25.91%,16.53%,38.99,71.17,0.24%,2848189
281,TTS,"Tile Shop Holdings, Inc.",Services,Home Improvement Stores,USA,49.44,,70.00%,-0.91%,-3.56%,-9.28%,-13.09%,34.04%,-6.08%,-9.19%,-3.06%,-17.76%,40.24%,39.17,17.6,-0.85%,173325
282,TIME,Time Inc.,Services,Publishing - Periodicals,USA,,4.15%,98.20%,1.73%,-3.94%,-5.43%,32.13%,33.48%,-4.21%,-1.64%,15.47%,-10.29%,46.40%,39.79,18.3,-2.66%,734204
283,TOO,Teekay Offshore Partners L.P.,Services,Shipping,Bermuda,,8.48%,60.60%,12.74%,-8.95%,-14.12%,-4.85%,96.00%,-10.88%,-6.22%,-5.30%,-22.95%,113.20%,38.32,5.19,-6.99%,1217338
284,USDP,USD Partners LP,Services,Railroads,USA,10.6,10.31%,50.70%,0.62%,-11.72%,-17.89%,-7.12%,123.21%,-12.43%,-14.79%,5.60%,-25.17%,164.63%,29.3,12.8,-1.54%,56360
285,UPS,"United Parcel Service, Inc.",Services,Air Delivery & Freight Services,USA,27.56,3.13%,69.90%,0.62%,-0.97%,-8.54%,-6.66%,11.89%,-1.54%,-5.24%,-1.78%,-11.16%,14.70%,39.89,106.18,1.04%,2711041
286,WAB,Westinghouse Air Brake Technologies Corporation,Services,Railroads,USA,19.97,0.50%,94.00%,1.25%,-9.77%,-9.87%,-8.41%,17.37%,-7.59%,-6.27%,0.95%,-10.81%,21.69%,34,79.45,1.62%,983120
287,WAIR,"Wesco Aircraft Holdings, Inc.",Services,Industrial Equipment Wholesale,USA,14.14,,89.40%,-0.35%,-2.82%,-20.72%,-15.14%,-6.01%,-11.90%,-17.31%,-13.49%,-23.64%,-0.66%,18.71,12.05,-1.63%,340308
288,YRCW,YRC Worldwide Inc.,Services,Trucking,USA,19.63,,96.40%,10.51%,-3.60%,-17.99%,4.83%,57.25%,-9.32%,-10.35%,7.74%,-25.87%,67.73%,35.78,12.58,0.16%,531396
289,YELP,Yelp Inc.,Technology,Internet Information Providers,USA,,,79.80%,6.78%,-3.77%,-21.33%,-12.73%,76.11%,-13.89%,-14.08%,-4.21%,-22.92%,88.72%,21.82,33.46,-0.03%,2609378
290,WIFI,"Boingo Wireless, Inc.",Technology,Diversified Communication Services,USA,,,91.70%,0.03%,-2.80%,-8.40%,-6.24%,76.79%,-3.50%,-7.10%,11.53%,-14.13%,93.39%,32.86,11.12,-0.36%,149844
291,VPG,"Vishay Precision Group, Inc.",Technology,Scientific & Technical Instruments,USA,,,84.00%,-1.26%,-4.40%,-5.78%,-14.21%,38.72%,-2.53%,-8.00%,3.57%,-16.17%,40.64%,35.89,16.3,-0.31%,36131
292,VDSI,"VASCO Data Security International, Inc.",Technology,Security Software & Services,USA,50.94,,55.00%,1.43%,0.00%,-10.26%,-9.36%,-3.63%,-7.63%,-6.86%,-15.61%,-29.79%,5.86%,38.42,13.55,-0.37%,213712
293,VG,Vonage Holdings Corp.,Technology,Diversified Communication Services,USA,77.09,,81.00%,5.11%,-1.62%,-12.75%,-9.78%,19.41%,-8.80%,-12.43%,-1.11%,-22.72%,59.42%,31.81,6.09,1.50%,2423275
294,TRIP,"TripAdvisor, Inc.",Technology,Internet Information Providers,USA,53.61,,92.80%,-5.43%,-9.16%,-19.05%,-16.98%,-31.31%,-15.80%,-14.59%,-28.01%,-40.55%,-1.37%,23.42,42.62,-1.93%,4669194
295,TNGO,"Tangoe, Inc.",Technology,Business Software & Services,USA,,,97.70%,-19.48%,-3.69%,-19.76%,-25.53%,-22.35%,-9.39%,-19.14%,-25.87%,-42.16%,12.97%,25.73,6.01,2.39%,111250
296,TYPE,Monotype Imaging Holdings Inc.,Technology,Application Software,USA,43.84,2.13%,91.00%,-1.17%,-12.50%,-3.28%,6.50%,-12.12%,-7.54%,-2.77%,-3.56%,-17.74%,20.56%,37.06,20.65,-1.43%,344689
297,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,45.72,,74.80%,10.82%,-15.81%,-15.44%,-30.20%,,-10.22%,-13.22%,-22.68%,-58.02%,99.78%,38.19,54.04,-14.80%,5167108
298,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,14.05,,50.10%,162.09%,-10.91%,-18.19%,-50.24%,,-15.88%,-15.05%,-14.55%,-54.57%,36.37%,33.82,13.31,-2.70%,288951
299,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,35.03,,92.70%,-4.69%,-2.13%,-8.53%,-5.91%,14.39%,-4.59%,-6.58%,6.27%,-12.24%,31.53%,35.52,62.87,0.27%,1362288
300,ANGI,"Angie's List, Inc.",Technology,Internet Software & Services,USA,,,67.00%,0.22%,-5.02%,-23.22%,-38.86%,-33.70%,-11.86%,-25.85%,-33.43%,-48.98%,5.17%,24.65,5.49,-0.72%,523235
301,AMBR,"Amber Road, Inc.",Technology,Application Software,USA,,,62.60%,3.01%,-15.68%,-12.87%,-35.34%,86.46%,-11.13%,-14.02%,-12.91%,-36.18%,96.74%,28.23,7.85,0.13%,140400
302,ARRS,ARRIS International plc,Technology,Communication Equipment,USA,,,86.50%,-0.49%,-13.76%,-13.36%,-11.33%,9.95%,-11.66%,-13.52%,-5.40%,-18.31%,28.43%,28.76,25.75,-1.94%,4051846
303,ATNI,"ATN International, Inc.",Technology,Telecom Services - Domestic,USA,80.5,2.00%,60.30%,0.41%,-16.13%,-14.88%,-6.80%,-5.32%,-13.70%,-14.86%,-6.48%,-22.55%,9.48%,26.15,68.02,-10.73%,108592
304,BELFA,Bel Fuse Inc.,Technology,Scientific & Technical Instruments,USA,,1.06%,53.20%,-0.58%,-6.98%,-14.20%,-3.60%,87.40%,-8.45%,-9.90%,11.87%,-15.82%,88.94%,35.79,22.65,5.35%,5995
305,BELFB,Bel Fuse Inc.,Technology,Diversified Electronics,USA,17.3,1.04%,63.10%,-9.95%,-14.67%,-17.28%,-7.95%,91.36%,-11.35%,-13.35%,10.77%,-19.32%,106.03%,30.18,27.05,-3.05%,37364
306,BBOX,Black Box Corporation,Technology,Networking & Communication Devices,USA,,5.03%,99.40%,2.39%,-3.54%,-30.04%,-39.86%,-26.12%,-7.60%,-27.55%,-28.29%,-43.56%,8.52%,33.28,9.55,-3.05%,97126
307,BRCD,"Brocade Communications Systems, Inc.",Technology,Data Storage Devices,USA,23.62,1.78%,87.00%,3.05%,0.08%,-1.20%,-0.12%,26.05%,-0.59%,-0.88%,19.58%,-1.67%,64.96%,39.15,12.33,-0.48%,11192331
308,BNFT,"Benefitfocus, Inc.",Technology,Application Software,USA,,,83.90%,2.83%,-13.89%,-20.06%,-12.39%,-15.43%,-14.03%,-16.34%,-29.18%,-44.20%,2.24%,21.41,25.1,-11.46%,2259645
309,CBB,Cincinnati Bell Inc.,Technology,Telecom Services - Domestic,USA,9.09,,79.10%,-0.52%,-3.66%,-12.22%,-6.40%,21.91%,-8.83%,-10.93%,-6.92%,-23.00%,28.66%,30.08,19.75,-0.50%,248061
310,CNSL,"Consolidated Communications Holdings, Inc.",Technology,Telecom Services - Domestic,USA,60.58,6.70%,67.50%,5.07%,-10.03%,-11.20%,-19.53%,15.93%,-10.29%,-12.10%,-8.40%,-22.33%,19.89%,26.03,23.14,-4.54%,679489
311,DNB,The Dun & Bradstreet Corporation,Technology,Information & Delivery Services,USA,38.43,1.90%,95.40%,-1.05%,-0.76%,-13.73%,-14.13%,12.86%,-7.36%,-10.87%,-15.28%,-24.50%,17.62%,31.99,105.6,-2.42%,584766
312,EGOV,NIC Inc.,Technology,Application Software,USA,25.89,1.46%,90.00%,-0.41%,1.15%,-13.61%,-12.75%,25.84%,-2.38%,-8.18%,-2.57%,-15.44%,36.20%,35.93,21.9,-0.45%,270638
313,ELNK,EarthLink Holdings Corp.,Technology,Telecom Services - Domestic,USA,,3.55%,88.70%,-2.54%,-0.18%,-13.52%,2.00%,4.12%,-6.10%,-4.92%,-7.10%,-18.76%,17.14%,36.3,5.63,-3.76%,8602304
314,ECOM,ChannelAdvisor Corporation,Technology,Application Software,USA,,,94.00%,0.69%,5.69%,-24.15%,-24.41%,2.95%,-11.12%,-19.75%,-16.81%,-29.92%,8.46%,36.53,11.15,5.19%,147369
315,GRUB,GrubHub Inc.,Technology,Internet Information Providers,USA,63.18,,91.20%,1.82%,-1.97%,-13.44%,-2.18%,60.89%,-7.46%,-5.76%,0.51%,-18.51%,70.64%,34.31,36.33,0.14%,1376402
316,GIB,CGI Group Inc.,Technology,Internet Software & Services,Canada,17.27,,70.00%,-5.85%,-3.39%,-2.89%,-2.32%,12.87%,-3.01%,-2.78%,-0.42%,-6.92%,16.36%,37.54,47.08,-2.10%,383942
317,FRP,"Fairpoint Communications, Inc.",Technology,Telecom Services - Domestic,USA,3.38,,94.90%,6.02%,-10.19%,-10.44%,-2.40%,15.68%,-10.47%,-12.29%,2.50%,-16.84%,27.24%,27.07,16.3,-4.96%,320287
318,FORM,"FormFactor, Inc.",Technology,Semiconductor - Broad Line,USA,,,92.20%,-0.60%,-5.11%,-8.98%,-0.89%,52.53%,-8.81%,-5.21%,9.93%,-15.21%,72.07%,31.91,11.15,-2.19%,637835
319,HPE,Hewlett Packard Enterprise Company,Technology,Diversified Computer Systems,USA,12.52,1.05%,82.00%,-0.30%,-5.63%,-0.09%,0.66%,69.80%,-2.95%,-2.02%,7.01%,-7.72%,81.19%,39.31,22.96,-6.89%,46840652
320,HIVE,"Aerohive Networks, Inc.",Technology,Communication Equipment,USA,,,66.20%,6.92%,-0.40%,-10.70%,-10.22%,-0.99%,-5.59%,-9.75%,-17.09%,-32.75%,10.11%,35.08,5.01,0.60%,93968
321,HCHC,"HC2 Holdings, Inc.",Technology,Long Distance Carriers,USA,,,65.10%,2.28%,-9.92%,-19.11%,19.03%,40.75%,-11.98%,-10.07%,12.74%,-22.56%,73.23%,32.34,5.63,2.55%,246763
322,SPOK,"Spok Holdings, Inc.",Technology,Wireless Communications,USA,4.47,2.65%,93.10%,-0.71%,-1.56%,-8.92%,4.80%,15.63%,-2.33%,-6.81%,3.77%,-16.37%,25.90%,39.46,18.9,-0.79%,104254
323,SNCR,"Synchronoss Technologies, Inc.",Technology,Application Software,USA,,,92.00%,0.91%,-9.44%,-23.14%,-37.80%,12.22%,-13.95%,-19.39%,-21.43%,-38.95%,24.91%,24.03,30.49,-1.20%,2962987
324,SONS,"Sonus Networks, Inc.",Technology,Communication Equipment,USA,,,69.70%,-1.17%,-2.47%,-7.49%,-6.17%,-20.08%,-6.64%,-7.38%,-22.33%,-40.70%,7.62%,33.98,5.93,0.17%,453712
325,SABR,Sabre Corporation,Technology,Information Technology Services,USA,25.97,2.39%,89.60%,-0.93%,2.30%,-11.39%,-15.14%,-20.16%,-5.18%,-10.03%,-16.93%,-25.72%,4.31%,34.76,21.79,0.18%,3151525
326,SHOR,"ShoreTel, Inc.",Technology,Communication Equipment,USA,,,87.10%,-0.31%,-1.46%,-10.00%,-3.57%,-7.15%,-3.16%,-5.26%,-6.47%,-21.14%,15.78%,36.4,6.75,-0.74%,314571
327,RMBS,Rambus Inc.,Technology,Semiconductor- Memory Chips,USA,209.5,,81.70%,0.74%,-0.40%,-10.02%,-7.23%,-3.08%,-2.14%,-6.87%,-2.48%,-13.31%,12.94%,36.55,12.57,0.08%,871595
328,RNET,"RigNet, Inc.",Technology,Wireless Communications,USA,,,99.50%,-1.67%,-1.34%,-13.65%,6.07%,44.72%,-3.33%,-12.15%,17.24%,-23.22%,77.81%,34,18.35,-0.81%,40275
329,QADA,QAD Inc.,Technology,Application Software,USA,148.96,1.01%,53.30%,9.16%,-2.04%,-6.05%,11.48%,51.57%,-2.15%,-3.55%,21.40%,-7.56%,58.12%,39.38,28.75,-0.52%,25310
330,PDFS,"PDF Solutions, Inc.",Technology,Technical & System Software,USA,78.7,,79.00%,4.57%,-1.23%,-6.38%,-6.46%,100.55%,-3.55%,-4.57%,17.90%,-11.13%,119.84%,35.45,21.72,-0.82%,134986
331,PI,"Impinj, Inc.",Technology,Communication Equipment,USA,,,76.30%,46.64%,-15.19%,-14.44%,2.08%,,-10.84%,-11.99%,0.60%,-28.44%,83.31%,38.45,29.99,-3.07%,964884
332,NVDA,NVIDIA Corporation,Technology,Semiconductor - Specialized,USA,39.76,0.55%,84.10%,-4.49%,-5.28%,-5.75%,8.64%,221.62%,-9.00%,-5.12%,39.19%,-15.99%,235.18%,37.67,101.46,0.97%,25712085
333,ORBK,Orbotech Ltd.,Technology,Diversified Electronics,Israel,18.26,,76.90%,2.78%,0.58%,-11.92%,-4.08%,39.09%,-5.62%,-6.51%,5.16%,-15.82%,45.20%,39.9,31.03,0.52%,292363
334,MANT,ManTech International Corporation,Technology,Security Software & Services,USA,24.85,2.28%,96.80%,-1.17%,-8.70%,-8.30%,-15.88%,29.69%,-5.77%,-9.13%,-5.76%,-18.89%,40.18%,35.81,36.92,1.15%,175336
335,KEYW,The KEYW Holding Corporation,Technology,Application Software,USA,,,78.10%,4.77%,-6.85%,-21.46%,-26.26%,52.37%,-4.88%,-13.53%,-8.92%,-28.81%,118.55%,34.77,9.66,-2.72%,437060
